D:\project\第二次煤粉数据处理\氮气30\port3.csv,-10,-3,-13,-14,-17,-12,-15,-14,-13,-14,-14,-16,-15,-16,-17,-13,-15,-14,-12,-17,-15,-15,-16,-15,-17,-17,-15,-17,-16,-17,-17,-17,-17,-17,-17,-18,-17,-18,-15,-15,-16,-17,-16,-15,-14,-13,-17,-21,-16,-17
D:\project\第二次煤粉数据处理\氮气42\port3.csv,-2,-1,-13,-2,-15,-13,-2,-12,-15,-12,-12,-10,-14,-2,-2,-5,-13,-12,-12,-15,-11,-12,-15,-2,-11,-23,-3,-13,-12,-15,-16,-13,-12,-14,-11,-3,-13,-14,-2,-2,-2,-27,-11,-12,-13,-9,3,2,-14,-13
D:\project\第二次煤粉数据处理\氮气50\port3.csv,-10,-11,-11,-1,-13,-2,-10,-12,-12,-14,-13,-15,-13,-14,-12,-15,-14,-11,-14,-16,-12,-13,-14,-13,-12,-3,-13,-2,-13,-3,-14,-4,-12,-13,-11,-13,-11,-2,-2,-3,-1,-17,-44,-2,-11,-12,-13,-4,-4,-1
D:\project\第二次煤粉数据处理\氮气70\port3.csv,-35,-2,-2,-16,-17,-1,-12,-12,-11,-3,-2,-3,-14,-14,-3,-12,-3,-2,-10,-13,-15,-13,-14,-15,-14,-14,-12,-15,-2,-5,-12,-19,-12,-2,-1,-12,-2,-17,-8,-13,-2,-3,-1,-11,-14,-14,-13,-15,-14,-12
