D:\project\第二次煤粉数据处理\氮气30\port3.csv,7,-438,-13,-14,-17,-12,-15,-15,-13,-14,-14,-16,-15,-16,-17,-13,-15,-14,-12,-256,-16,-16,-17,-16,-17,-17,-16,-17,-17,-18,-17,-17,-17,-17,-17,-18,-17,-18,-15,-16,-16,-17,-16,-16,-14,-14,-17,-21,-17,-17
D:\project\第二次煤粉数据处理\氮气42\port3.csv,-162,-379,-13,-94,-283,-13,-162,-12,-15,-495,-12,-14,-23,-123,-2,-15,-13,-12,-12,-15,-11,-12,-15,-11,-25,-23,-3,-13,-12,-15,-16,-14,-19,-14,-11,-3,-13,-14,-298,-2,-8,181,-14,-14,-13,-9,3,231,-14,-13
D:\project\第二次煤粉数据处理\氮气50\port3.csv,-512,-11,-11,-1,-13,128,-10,-12,-13,-14,-13,-15,-16,-14,-12,-15,-14,-11,-14,-16,-12,-13,-14,-13,-12,-3,-13,-15,-13,-3,-14,-4,-12,-13,-186,-13,-11,-2,-2,-3,408,-17,-45,-2,-11,-12,-61,-4,-4,-1
D:\project\第二次煤粉数据处理\氮气70\port3.csv,-512,285,-2,-16,-19,-17,-12,-12,-12,-13,-2,-3,-14,-14,-3,-12,-3,119,-10,-13,-15,-13,-14,-15,-14,-14,-13,-15,-2,-5,-12,-19,-12,-2,-1,-19,-3,-17,-8,-14,-11,-191,-12,-11,-14,-14,-13,-15,-15,-13
