D:\project\第二次煤粉数据处理\氮气30\port3.csv,-10,-15,-13,-14,-17,-12,-15,-15,-13,-14,-14,-16,-15,-16,-17,-13,-15,-14,-12,-17,-15,-16,-17,-16,-17,-17,-16,-17,-17,-18,-17,-17,-17,-17,-17,-18,-17,-18,-16,-16,-16,-17,-16,-15,-14,-13,-17,-21,-16,-17
D:\project\第二次煤粉数据处理\氮气42\port3.csv,-14,-1,-13,-2,-15,-13,-2,-12,-15,-12,-12,-10,-23,-2,-2,-15,-13,-12,-12,-15,-11,-12,-15,-11,-18,-23,-3,-13,-12,-15,-16,-14,-12,-14,-11,-3,-13,-14,37,-2,-2,-27,-11,-14,-13,-9,3,3,-14,-13
D:\project\第二次煤粉数据处理\氮气50\port3.csv,-10,-11,-11,-1,-13,-2,-10,-12,-13,-14,-13,-15,-13,-14,-12,-15,-14,-11,-14,-16,-12,-13,-14,-13,-12,-3,-13,-15,-13,-3,-14,-4,-12,-13,-11,-13,-11,-2,-2,-3,-5,-17,-44,-2,-11,-12,-61,-4,-4,-1
D:\project\第二次煤粉数据处理\氮气70\port3.csv,-35,-13,-2,-16,-19,-17,-12,-12,-12,-13,-2,-3,-14,-14,-3,-12,-3,-13,-10,-13,-15,-13,-14,-15,-14,-14,-12,-15,-2,-5,-12,-19,-12,-2,-1,-13,-3,-17,-8,-13,-11,-3,-12,-11,-14,-14,-13,-15,-15,-13
